ID,Full Name,Biological Gender,Nationality
1,J.R.R. Tolkien,Male,British
2,J.K. Rowling,Female,British
3,Suzanne Collins,Female,American
4,James Dashner,Male,American
5,Stephenie Meyer,Female,American
